Event name,Public title,Start date/time,Status,Current booking format,Current booking format value,Client confirmed / correction,Current stored booking_type,Bookings enabled,External booking link set,Notes
Elliott's Quiz,Join the Fun at Elliott's Quiz Night,03/02/2026 19:30,completed,Not set,,,,Yes,No,No booking format is currently recorded; Bookings are enabled but no format is set
"Live Music: Chasing Adele Tribute | The Star, Malden Rushett",Chasing Adele Tribute Night,13/02/2026 19:30,completed,Not set,,,,Yes,Yes,No booking format is currently recorded; Bookings are enabled but no format is set
Charity Quiz Night: 16 Feb,,16/02/2026 20:00,rejected,Not set,,,,No,Yes,No booking format is currently recorded
"Charity Pub Quiz | The Star, Malden Rushett",Join the Charity Quiz Night,17/02/2026 19:00,completed,Not set,,,,Yes,Yes,No booking format is currently recorded; Bookings are enabled but no format is set
Elliott's Quiz,Join Elliott's Quiz Night at The Cricketers!,17/02/2026 19:30,completed,Not set,,,,Yes,No,No booking format is currently recorded; Bookings are enabled but no format is set
"Band Night: Randy and The Rockets | The Horseshoe, Warlingham",Rock the Night with Randy,21/02/2026 20:30,completed,Not set,,,,Yes,Yes,No booking format is currently recorded; Bookings are enabled but no format is set
Jazz Night at The Cricketers - Monday 23 February,Jazz Night at The Cricketers - 23 February 2026,23/02/2026 19:30,completed,Not set,,,,Yes,Yes,No booking format is currently recorded; Bookings are enabled but no format is set
"Quiz Night | The Rose & Crown, Thorpe",Join Us for Quiz Night at The Rose & Crown!,23/02/2026 20:00,completed,Not set,,,,Yes,Yes,No booking format is currently recorded; Bookings are enabled but no format is set
"'Save The Rhino' Charity Pub Quiz Fundraiser | The Cricketers, Horsell",Save The Rhino Charity Pub Quiz at The Cricketers,24/02/2026 19:30,completed,Not set,,,,Yes,Yes,No booking format is currently recorded; Bookings are enabled but no format is set
"Charity Pub Quiz | The Star, Malden Rushett",Join Us for Charity Quiz Night,03/03/2026 19:00,completed,Not set,,,,Yes,Yes,No booking format is currently recorded; Bookings are enabled but no format is set
Charity Pub Quiz,Quiz Night for Charity,03/03/2026 20:00,completed,Not set,,,,Yes,Yes,No booking format is currently recorded; Bookings are enabled but no format is set
Quiz Night - 3 March,Quiz Night at The Shinfield Arms!,03/03/2026 20:00,completed,Not set,,,,Yes,Yes,No booking format is currently recorded; Bookings are enabled but no format is set
Richard Anderson Guitarist and singer,Experience Richard Anderson Live at The Cricketers,09/03/2026 20:00,completed,Not set,,,,Yes,No,No booking format is currently recorded; Bookings are enabled but no format is set
Charity Quiz Night: 16 March,Charity Quiz Night with Elliott - 16 March 2026,16/03/2026 20:00,completed,Not set,,,,Yes,Yes,No booking format is currently recorded; Bookings are enabled but no format is set
"Charity Pub Quiz | The Star, Malden Rushett",Join the Charity Quiz Challenge,17/03/2026 19:00,completed,Not set,,,,Yes,Yes,No booking format is currently recorded; Bookings are enabled but no format is set
Elliott's Quiz,Join Elliott's Quiz Night at The Cricketers!,17/03/2026 19:30,completed,Not set,,,,Yes,No,No booking format is currently recorded; Bookings are enabled but no format is set
Charity Pub Quiz,Join Our Charity Pub Quiz at The Cricketers!,17/03/2026 20:00,completed,Not set,,,,Yes,Yes,No booking format is currently recorded; Bookings are enabled but no format is set
"Band Night: The Fog | The Horseshoe, Warlingham",Rock Night with The Fog,21/03/2026 20:30,completed,Not set,,,,Yes,Yes,No booking format is currently recorded; Bookings are enabled but no format is set
Jazz Night at The Cricketers - Monday 30 March,Jazz Night Unleashed,30/03/2026 19:30,completed,Not set,,,,Yes,Yes,No booking format is currently recorded; Bookings are enabled but no format is set
"Charity Pub Quiz | The Star, Malden Rushett",,31/03/2026 19:00,rejected,Not set,,,,No,Yes,No booking format is currently recorded
Charity Pub Quiz,,31/03/2026 20:00,rejected,Not set,,,,No,Yes,No booking format is currently recorded
Bottomless Paint and Sip,Get Creative with Bottomless Paint and Sip!,13/04/2026 19:00,approved,Paid Tickets - Seated,paid_seated,,ticketed,Yes,No,Legacy value currently stored; migration maps to paid_seated
"Live Music: Luke Wright (Singer & Guitarist) | The Cricketers, Horsell",Acoustic Night with Luke Wright,13/04/2026 19:30,approved,Not set,,,,Yes,Yes,No booking format is currently recorded; Bookings are enabled but no format is set
"Charity Pub Quiz | The Star, Malden Rushett",,14/04/2026 19:00,draft,Not set,,,,No,Yes,No booking format is currently recorded
Charity Pub Quiz,,14/04/2026 20:00,draft,Not set,,,,No,Yes,No booking format is currently recorded
"Band Night: Chase The Tail | The Horseshoe, Warlingham",,18/04/2026 20:30,draft,Not set,,,,No,Yes,No booking format is currently recorded
Charity Quiz Night: 20 April,,20/04/2026 20:00,draft,Not set,,,,No,Yes,No booking format is currently recorded
Jazz Night at The Cricketers - Monday 27 April,,27/04/2026 19:30,draft,Not set,,,,No,Yes,No booking format is currently recorded
"Charity Pub Quiz | The Star, Malden Rushett",,28/04/2026 19:00,draft,Not set,,,,No,Yes,No booking format is currently recorded
Charity Pub Quiz,,28/04/2026 20:00,draft,Not set,,,,No,Yes,No booking format is currently recorded
Elliott's Themed Quiz,Elliott's Themed Quiz Night,29/04/2026 18:30,approved,Paid Tickets - Seated,paid_seated,,table_booking,Yes,No,Legacy value currently stored; migration maps to paid_seated
"Joe Jammer Duo | The Cricketers, Horsell",,11/05/2026 20:00,draft,Not set,,,,No,Yes,No booking format is currently recorded
The Horsell Jazz Hounds (Daytime) | The Inn at West End,The Horsell Jazz Hounds — Afternoon Jazz,12/05/2026 12:30,approved,Not set,,,,No,No,No booking format is currently recorded
"Charity Pub Quiz | The Star, Malden Rushett",,12/05/2026 19:00,draft,Not set,,,,No,Yes,No booking format is currently recorded
Charity Pub Quiz,,12/05/2026 20:00,draft,Not set,,,,Yes,Yes,No booking format is currently recorded; Bookings are enabled but no format is set
"Amy Winehouse Tribute | The Star, Malden Rushett",Amy Winehouse Tribute Night,15/05/2026 19:30,approved,Not set,,,,No,No,No booking format is currently recorded
Tequila Chase - Band Night | Meade Hall,Band Night: Tequila Chase,15/05/2026 20:30,approved,Not set,,,,No,No,No booking format is currently recorded
"Band Night: Something Else | The Horseshoe, Warlingham",Band Night: Something Else,16/05/2026 20:45,approved,Not set,,,,No,No,No booking format is currently recorded
Jazz Night at The Cricketers - Monday 18 May,,18/05/2026 19:30,draft,Not set,,,,No,Yes,No booking format is currently recorded
Charity Quiz Night: 18 May,,18/05/2026 20:00,draft,Not set,,,,No,Yes,No booking format is currently recorded
"Quiz Night | The Shinfield Arms, Shinfield",Charity Pub Quiz with Quizmaster Dave,19/05/2026 20:00,approved,Not set,,,,No,No,No booking format is currently recorded
"Quiz Night | The Rose & Crown, Thorpe",Monthly Quiz Night with Elliott,25/05/2026 20:00,approved,Not set,,,,No,No,No booking format is currently recorded
"Charity Pub Quiz | The Star, Malden Rushett",,26/05/2026 19:00,draft,Not set,,,,No,Yes,No booking format is currently recorded
Charity Pub Quiz,,26/05/2026 20:00,draft,Not set,,,,No,Yes,No booking format is currently recorded
Drag Queen Music Bingo,Drag Queen Music Bingo,28/05/2026 19:30,approved,Paid Tickets - Seated,paid_seated,,ticketed,Yes,No,Legacy value currently stored; migration maps to paid_seated
Live Music: Hannah-Marie | The Curious Pig in the Parlour,Live Music: Hannah-Marie,28/05/2026 19:30,approved,Not set,,,,No,No,No booking format is currently recorded
"Quiz Night | The Shinfield Arms, Shinfield",Charity Pub Quiz with Quizmaster Dave,02/06/2026 20:00,approved,Not set,,,,No,No,No booking format is currently recorded
Charity Pub Quiz | Meade Hall at The Crown & Cushion,Charity Pub Quiz with Elliott,03/06/2026 19:30,approved,Not set,,,,No,No,No booking format is currently recorded
The Congakeyz - FREE Live Music | Meade Hall,The Congakeyz — Free Live Music,04/06/2026 20:00,approved,Not set,,,,No,No,No booking format is currently recorded
Surrey Soul Sensation | Meade Hall at The Crown & Cushion,Surrey Soul Sensation,05/06/2026 19:30,approved,Not set,,,,No,No,No booking format is currently recorded
"Live Music: Dan Olsen | The Cricketers, Horsell",,08/06/2026 19:30,draft,Not set,,,,No,Yes,No booking format is currently recorded
"Charity Pub Quiz | The Star, Malden Rushett",,09/06/2026 19:00,draft,Not set,,,,No,Yes,No booking format is currently recorded
Charity Quiz Night: 15 June,,15/06/2026 20:00,draft,Not set,,,,No,Yes,No booking format is currently recorded
"Quiz Night | The Shinfield Arms, Shinfield",Charity Pub Quiz with Quizmaster Dave,16/06/2026 20:00,approved,Not set,,,,No,No,No booking format is currently recorded
"Band Night: Randy and The Rockets | The Horseshoe, Warlingham",Band Night: Randy and The Rockets,20/06/2026 20:30,approved,Not set,,,,No,Yes,No booking format is currently recorded
"Charity Pub Quiz | The Star, Malden Rushett",Charity Pub Quiz at The Star,23/06/2026 19:00,approved,Not set,,,,No,No,No booking format is currently recorded
Live Music: Lily Cooper | The Curious Pig in the Parlour,Live Music: Lily Cooper,25/06/2026 19:30,approved,Not set,,,,No,No,No booking format is currently recorded
Randy and The Rockets - Band Night | The Bletchingley Arms,Band Night: Randy and The Rockets,26/06/2026 20:00,approved,Not set,,,,No,No,No booking format is currently recorded
Jazz Night at The Cricketers - Monday 29 June,,29/06/2026 19:30,draft,Not set,,,,No,Yes,No booking format is currently recorded
"Quiz Night | The Shinfield Arms, Shinfield",Charity Pub Quiz with Quizmaster Dave,30/06/2026 20:00,approved,Not set,,,,No,No,No booking format is currently recorded
Tom Jones Tribute night ,Tom Jones Tribute Night,03/07/2026 20:00,approved,Paid Tickets - Seated,paid_seated,,ticketed,Yes,No,Legacy value currently stored; migration maps to paid_seated
DJ Darren Through the Decades Summer party,DJ Darren Through the Decades Summer Party,05/07/2026 16:00,approved,Free Tickets - Standing,free_standing,,free_entry,Yes,No,Legacy value currently stored; migration maps to free_standing
"Charity Pub Quiz | The Star, Malden Rushett",Charity Pub Quiz at The Star,07/07/2026 19:00,approved,Not set,,,,No,No,No booking format is currently recorded
"Quiz Night | The Shinfield Arms, Shinfield",Charity Pub Quiz with Quizmaster Dave,14/07/2026 20:00,approved,Not set,,,,No,No,No booking format is currently recorded
"Band Night: The Fog | The Horseshoe, Warlingham",,18/07/2026 20:30,draft,Not set,,,,No,Yes,No booking format is currently recorded
Victoria BeeBee Summer Sing-along,Sing along with Victoria BeeBee,19/07/2026 16:30,approved,Free Tickets - Standing,free_standing,,free_entry,Yes,No,Legacy value currently stored; migration maps to free_standing
Charity Quiz Night: 20 July,,20/07/2026 20:00,draft,Not set,,,,No,Yes,No booking format is currently recorded
Surrey Soul Sensation (Daytime) | Meade Hall at The Crown & Cushion,Surrey Soul Sensation — Daytime Event,26/07/2026 15:00,approved,Not set,,,,No,No,No booking format is currently recorded
Jazz Night at The Cricketers - Monday 27 July,,27/07/2026 19:30,draft,Not set,,,,No,Yes,No booking format is currently recorded
"Quiz Night | The Shinfield Arms, Shinfield",Charity Pub Quiz with Quizmaster Dave,28/07/2026 20:00,approved,Not set,,,,No,No,No booking format is currently recorded
"Band Night: Something Else | The Horseshoe, Warlingham",,15/08/2026 20:30,draft,Not set,,,,No,Yes,No booking format is currently recorded
Charity Quiz Night: 17 August,,17/08/2026 20:00,draft,Not set,,,,No,Yes,No booking format is currently recorded
Randy and The Rockets - Band Night | The Bletchingley Arms,Band Night: Randy and The Rockets,21/08/2026 20:00,approved,Not set,,,,No,No,No booking format is currently recorded
DJ Darren Through the Decades Summer party,DJ Darren Through the Decades Summer Party,23/08/2026 16:00,approved,Not set,,,,Yes,No,No booking format is currently recorded; Bookings are enabled but no format is set
Jazz Night at The Cricketers - Monday 24 August,,24/08/2026 19:30,draft,Not set,,,,No,Yes,No booking format is currently recorded
"Band Night: Chase The Tail | The Horseshoe, Warlingham",,19/09/2026 20:30,draft,Not set,,,,No,Yes,No booking format is currently recorded
Charity Quiz Night: 21 September,,21/09/2026 20:00,draft,Not set,,,,No,Yes,No booking format is currently recorded
Jazz Night at The Cricketers - Monday 28 September,,28/09/2026 19:30,draft,Not set,,,,No,Yes,No booking format is currently recorded
"Band Night: Randy and The Rockets | The Horseshoe, Warlingham",,17/10/2026 20:30,draft,Not set,,,,No,Yes,No booking format is currently recorded
Charity Quiz Night: 19 October,,19/10/2026 20:00,draft,Not set,,,,No,Yes,No booking format is currently recorded
Jazz Night at The Cricketers - Monday 26 October,,26/10/2026 19:30,draft,Not set,,,,No,Yes,No booking format is currently recorded
"Band Night: Chase The Tail | The Horseshoe, Warlingham",,14/11/2026 20:30,draft,Not set,,,,No,Yes,No booking format is currently recorded
Charity Quiz Night: 16 November,,16/11/2026 20:00,draft,Not set,,,,No,Yes,No booking format is currently recorded
Jazz Night at The Cricketers - Monday 30 November,,30/11/2026 19:30,draft,Not set,,,,No,Yes,No booking format is currently recorded
